analysis,size_factor,roi_name,max,min
,0.85,V2,-0.133366123611217,-3.62730935439176
,0.85,V3,-0.799451368274454,-4.65531033503783
,0.86,V1,-0.387884086289051,-2.8939232848899
,0.86,V2,-0.037012116800285,-3.66147995079656
,0.86,V3,-0.766908382213546,-4.41339922359811
,0.87,V1,-0.464898850945265,-3.00214845687265
,0.87,V2,0.0174631620978895,-3.40453167334395
,0.87,V3,-0.654993322697363,-4.14291972023324
,0.88,V1,-0.440753197997175,-2.63139596582162
,0.88,V2,-0.000832178909453812,-3.39199433224486
,0.88,V3,-0.486141115287606,-3.89077707612901
,0.89,V1,-0.323108740522377,-2.55050891967849
,0.89,V2,0.086100653392892,-3.48923785876852
,0.89,V3,-0.393708823451892,-3.50430605573536
,0.9,V1,-0.328805805805788,-2.4899065486659
,0.9,V2,0.178714561837749,-3.31667848438111
,0.9,V3,-0.265179546706361,-3.23330156976369
,0.91,V1,-0.217361406362889,-2.42534673157391
,0.91,V2,0.177050800875905,-3.13763614392761
,0.91,V3,-0.150607834605964,-2.95425433649199
,0.92,V1,-0.217798024511387,-2.23547296933853
,0.92,V2,0.253015501633625,-3.14135365123019
,0.92,V3,-0.052724391381817,-2.74705455623256
,0.93,V1,-0.165632863298502,-2.0164679969537
,0.93,V2,0.302114084168327,-2.84893847557588
,0.93,V3,0.195479751080921,-2.17685748355414
,0.94,V1,-0.132362790268973,-1.91954692433078
,0.94,V2,0.354448780150845,-2.89697902703595
,0.94,V3,0.410973521626321,-1.92534944779566
,0.95,V1,-0.0670009381437805,-1.77722997978199
,0.95,V2,0.406969829144394,-2.66057263813053
,0.95,V3,0.664340278825937,-1.57068319533161
,0.96,V1,0.127678282408246,-1.58425176659512
,0.96,V2,0.560544848088683,-2.56070142486024
,0.96,V3,0.980497867993031,-1.41112910340645
,0.97,V1,0.292849085652401,-1.48527764189095
,0.97,V2,0.726453349477836,-2.50752703981238
,0.97,V3,1.21533353742419,-1.16231558475926
,0.98,V1,0.450973422471865,-1.36414258908193
,0.98,V2,0.885505763318309,-2.23567011020607
,0.98,V3,1.49699094286612,-0.916785885254046
,0.99,V1,0.588063332060331,-1.29643517534413
,0.99,V2,1.04466894558543,-2.08079414999582
,0.99,V3,1.7314806788479,-0.664901389729874
,1,V1,0.740204564144091,-1.11801679472687
,1,V2,1.26269457273183,-1.93750120946595
,1,V3,2.01122963169724,-0.450838686501091
